Gen,Signal,Method,Frequency,Damping,Amplitude,Phase,Reference_Mode,Reference_Frequency,Reference_Damping,Distance_to_Reference
g1,Voltage,Order 2,0.5364566469109998,-0.0652501692813395,0.0017921118223691,2.104249851834024,Inter-area,0.54,-0.127,0.0618514102094411
g1,Voltage,Order 4,0.5423726286939118,-0.1084678606600953,0.0024802980038783,1.906519049180441,Inter-area,0.54,-0.127,0.018683403208003005
g1,Voltage,Order 6,0.5748156700621905,-1.2476259221011228,0.0017880133955436,1.36623642770832,Intra-area 1,1.083,-0.603,0.8208494945110603
g1,Voltage,Order 6,0.536655637140288,-0.0902028397789542,0.0020007252463518,2.112636728605957,Inter-area,0.54,-0.127,0.03694882627730869
g1,Voltage,Tau 1,0.5364566469109998,-0.0652501692813395,0.0017921118223691,2.104249851834024,Inter-area,0.54,-0.127,0.0618514102094411
g1,Voltage,Tau 0.1,1.071636251842213,-0.640777850319432,0.0002697843836706,-0.121456411629918,Intra-area 1,1.083,-0.603,0.039449977781375496
g1,Voltage,Tau 0.1,0.5421044573867696,-0.1034118265017096,0.0023415108874763,1.899376702307142,Inter-area,0.54,-0.127,0.023681863733206864
g1,Voltage,Tau 0.01,1.071636251842213,-0.640777850319432,0.0002697843836706,-0.121456411629918,Intra-area 1,1.083,-0.603,0.039449977781375496
g1,Voltage,Tau 0.01,0.5421044573867696,-0.1034118265017096,0.0023415108874763,1.899376702307142,Inter-area,0.54,-0.127,0.023681863733206864
g1,Current,Order 2,0.5492654940712918,-0.1176130650748683,0.0052707108904499,-1.1104906221428994,Inter-area,0.54,-0.127,0.013189538569404151
g1,Current,Order 4,1.0407974601494996,-0.7701559873197344,0.0032393480555667,2.8704466154069768,Intra-area 2,1.119,-0.631,0.15962464109904584
g1,Current,Order 4,0.5458948847950962,-0.1313794593946793,0.0055570330533536,-0.9797718267839034,Inter-area,0.54,-0.127,0.007343659260688804
g1,Current,Order 6,1.0446817968922308,-0.7639323472287994,0.0032767471018506,2.9002534136674534,Intra-area 2,1.119,-0.631,0.15229643545705765
g1,Current,Order 6,0.5446479478395376,-0.1164269926248031,0.0052496417373219,-0.951988982739497,Inter-area,0.54,-0.127,0.0115495412928406
g1,Current,Tau 1,1.0407974601494996,-0.7701559873197344,0.0032393480555667,2.8704466154069768,Intra-area 2,1.119,-0.631,0.15962464109904584
g1,Current,Tau 1,0.5458948847950962,-0.1313794593946793,0.0055570330533536,-0.9797718267839034,Inter-area,0.54,-0.127,0.007343659260688804
g1,Current,Tau 0.1,1.0446817968922308,-0.7639323472287994,0.0032767471018506,2.9002534136674534,Intra-area 2,1.119,-0.631,0.15229643545705765
g1,Current,Tau 0.1,0.5446479478395376,-0.1164269926248031,0.0052496417373219,-0.951988982739497,Inter-area,0.54,-0.127,0.0115495412928406
g1,Current,Tau 0.01,1.0894623525456149,-0.2378122130963651,0.0004283018673373,-0.5631864620338604,Intra-area 1,1.083,-0.603,0.365244961230129
g1,Current,Tau 0.01,1.0509402442584583,-0.7347877007166748,0.0045181922793858,2.8262111031689194,Intra-area 2,1.119,-0.631,0.12411292105035786
g1,Current,Tau 0.01,0.5389679670894248,-0.0928791285552968,0.0045322697534781,-0.7800152092110825,Inter-area,0.54,-0.127,0.03413647550750477
g1,Active Power,Order 2,0.544479695784691,-0.1580437033553382,2.2440930404735044,-0.6802448715561917,Inter-area,0.54,-0.127,0.03136525453965924
g1,Active Power,Order 4,1.0393402312543536,-0.8449470353765172,3.335118672713113,2.9204275437285534,Intra-area 2,1.119,-0.631,0.22829588849344298
g1,Active Power,Order 4,0.5368976851368079,-0.0791956769285282,1.6209744912419013,-0.3402226954499398,Inter-area,0.54,-0.127,0.04790488139878893
g1,Active Power,Order 6,1.0376521481442604,-0.7091355351281495,2.857746731467781,2.887683810399682,Intra-area 2,1.119,-0.631,0.1127946579023388
g1,Active Power,Order 6,0.5414822216572793,-0.1237364312996204,2.1447188491699998,-0.5102835484307215,Inter-area,0.54,-0.127,0.003584391399304091
g1,Active Power,Tau 1,1.0393402312543536,-0.8449470353765172,3.335118672713113,2.9204275437285534,Intra-area 2,1.119,-0.631,0.22829588849344298
g1,Active Power,Tau 1,0.5368976851368079,-0.0791956769285282,1.6209744912419013,-0.3402226954499398,Inter-area,0.54,-0.127,0.04790488139878893
g1,Active Power,Tau 0.1,1.0330716985602246,-0.814595185520816,3.228440769763015,2.951738693981116,Intra-area 2,1.119,-0.631,0.2027088185914657
g1,Active Power,Tau 0.1,0.5416887741378259,-0.0717784059387047,1.532154418654882,-0.490523277619068,Inter-area,0.54,-0.127,0.05524741087833053
g1,Active Power,Tau 0.01,1.0330716985602246,-0.814595185520816,3.228440769763015,2.951738693981116,Intra-area 2,1.119,-0.631,0.2027088185914657
g1,Active Power,Tau 0.01,0.5416887741378259,-0.0717784059387047,1.532154418654882,-0.490523277619068,Inter-area,0.54,-0.127,0.05524741087833053
g1,Reactive Power,Order 2,0.5386888917440795,-0.1598656212374463,6.024422416433048,-0.8829492484189716,Inter-area,0.54,-0.127,0.032891762862182136
g1,Reactive Power,Order 4,0.5517033959542426,-0.1521961481328253,5.89467861431081,-1.183740784430011,Inter-area,0.54,-0.127,0.02778156506737978
g1,Reactive Power,Order 6,1.0352872835312346,-0.7727191867949836,0.8075287721729707,2.5947784761985937,Intra-area 2,1.119,-0.631,0.16459692222034827
g1,Reactive Power,Order 6,0.5390013029176141,-0.1126172531506169,5.137684499936489,-0.85844036902842,Inter-area,0.54,-0.127,0.01441737849942929
g1,Reactive Power,Tau 1,0.5386888917440795,-0.1598656212374463,6.024422416433048,-0.8829492484189716,Inter-area,0.54,-0.127,0.032891762862182136
g1,Reactive Power,Tau 0.1,0.5517033959542426,-0.1521961481328253,5.89467861431081,-1.183740784430011,Inter-area,0.54,-0.127,0.02778156506737978
g1,Reactive Power,Tau 0.01,1.0352872835312346,-0.7727191867949836,0.8075287721729707,2.5947784761985937,Intra-area 2,1.119,-0.631,0.16459692222034827
g1,Reactive Power,Tau 0.01,0.5390013029176141,-0.1126172531506169,5.137684499936489,-0.85844036902842,Inter-area,0.54,-0.127,0.01441737849942929
g2,Voltage,Order 2,0.544496880682461,-0.1168922866656996,0.0033180844373976,1.891378570629241,Inter-area,0.54,-0.127,0.011062902183454624
g2,Voltage,Order 4,0.5420227650163867,-0.0947398893902527,0.0029631081157446,1.9595076064085697,Inter-area,0.54,-0.127,0.032323463843849536
g2,Voltage,Order 6,0.5393383128238362,-0.1379707395023074,0.0035729217787745,2.0154814256677223,Inter-area,0.54,-0.127,0.010990675827563457
g2,Voltage,Tau 1,0.544496880682461,-0.1168922866656996,0.0033180844373976,1.891378570629241,Inter-area,0.54,-0.127,0.011062902183454624
g2,Voltage,Tau 0.1,0.5338351483219744,-0.1209312483162188,0.0032901581178317,2.1620371282629907,Inter-area,0.54,-0.127,0.008650730790601002
g2,Voltage,Tau 0.01,0.5324118112909738,-0.1120824454815413,0.0030957704319527,2.202230524280414,Inter-area,0.54,-0.127,0.016736607801313287
g2,Current,Order 2,0.5477271151471962,-0.0791116339931164,0.0047447060522892,-1.0167497872653457,Inter-area,0.54,-0.127,0.04850777161762096
g2,Current,Order 4,0.5402710812880624,-0.0948226779789299,0.0050001419167465,-0.7899785541946227,Inter-area,0.54,-0.127,0.0321784638774504
g2,Current,Order 4,0.3028649351157434,-0.9247971472544236,0.0029246692355545,0.48253762617056,Inter-area,0.54,-0.127,0.8322940148559025
g2,Current,Order 6,1.054247435776332,-0.787468322783158,0.0034404754932041,-0.2899958390559808,Intra-area 2,1.119,-0.631,0.16933762313235287
g2,Current,Order 6,0.5407570559562253,-0.1037845113269864,0.0056041357056937,-0.8402763139063208,Inter-area,0.54,-0.127,0.02322782917208749
g2,Current,Tau 1,0.5477271151471962,-0.0791116339931164,0.0047447060522892,-1.0167497872653457,Inter-area,0.54,-0.127,0.04850777161762096
g2,Current,Tau 0.1,1.050352751385537,-0.768327562792272,0.0031423597085399,-0.1311422271365898,Intra-area 2,1.119,-0.631,0.15352948982134113
g2,Current,Tau 0.1,0.5355193001164429,-0.1260272516942529,0.0061381590711971,-0.705909780766353,Inter-area,0.54,-0.127,0.004585074777235686
g2,Current,Tau 0.01,1.054444010087768,-0.7903113861295258,0.003483496530855,-0.2895492243142605,Intra-area 2,1.119,-0.631,0.17189413481576116
g2,Current,Tau 0.01,0.5422346518714556,-0.1021465141338599,0.0055439708635218,-0.8801277913834656,Inter-area,0.54,-0.127,0.024953745784651756
g2,Active Power,Order 2,0.5370072021535502,-0.1790808918758915,1.9105135386179908,-0.0225486014040365,Inter-area,0.54,-0.127,0.052166810689728914
g2,Active Power,Order 4,1.0500227283124766,-0.7002963943992414,3.055669454764805,-0.109301212223041,Intra-area 2,1.119,-0.631,0.09777450734311903
g2,Active Power,Order 4,0.541257163786525,-0.1495158865437482,1.636100031279924,-0.2356969036771709,Inter-area,0.54,-0.127,0.02255095580318251
g2,Active Power,Order 6,1.0585976349671518,-0.7929020591792346,3.349351969582188,-0.211725861512706,Intra-area 2,1.119,-0.631,0.1728025534187439
g2,Active Power,Order 6,0.5412241593797962,-0.1311724470138346,1.5402442490749582,-0.2728152036967253,Inter-area,0.54,-0.127,0.004348319246605533
g2,Active Power,Tau 1,1.0500227283124766,-0.7002963943992414,3.055669454764805,-0.109301212223041,Intra-area 2,1.119,-0.631,0.09777450734311903
g2,Active Power,Tau 1,0.541257163786525,-0.1495158865437482,1.636100031279924,-0.2356969036771709,Inter-area,0.54,-0.127,0.02255095580318251
g2,Active Power,Tau 0.1,1.0540805139349203,-0.7794243089588951,3.3056424137228304,-0.2083197162233102,Intra-area 2,1.119,-0.631,0.16200097271584402
g2,Active Power,Tau 0.1,0.5410408271963845,-0.1025145195295303,1.3456780495253235,-0.2575031317430388,Inter-area,0.54,-0.127,0.024507592193491516
g2,Active Power,Tau 0.01,1.0585976349671518,-0.7929020591792346,3.349351969582188,-0.211725861512706,Intra-area 2,1.119,-0.631,0.1728025534187439
g2,Active Power,Tau 0.01,0.5412241593797962,-0.1311724470138346,1.5402442490749582,-0.2728152036967253,Inter-area,0.54,-0.127,0.004348319246605533
g2,Reactive Power,Order 2,0.5455715828441923,-0.1850071346493879,7.753622458622758,-0.9700356666946536,Inter-area,0.54,-0.127,0.058274095493811955
g2,Reactive Power,Order 4,0.5404787990806468,-0.0943788277205408,5.639569949845905,-0.83898454118496,Inter-area,0.54,-0.127,0.03262468589037733
g2,Reactive Power,Order 6,1.078778197263522,-0.6661750044792025,0.6109664639532543,-1.2828420313848352,Intra-area 2,1.119,-0.631,0.053432895817876726
g2,Reactive Power,Order 6,0.547329915532459,-0.12883809182788,6.596688387957692,-1.031904339444892,Inter-area,0.54,-0.127,0.007556867292780967
g2,Reactive Power,Tau 1,0.5455715828441923,-0.1850071346493879,7.753622458622758,-0.9700356666946536,Inter-area,0.54,-0.127,0.058274095493811955
g2,Reactive Power,Tau 0.1,0.5404787990806468,-0.0943788277205408,5.639569949845905,-0.83898454118496,Inter-area,0.54,-0.127,0.03262468589037733
g2,Reactive Power,Tau 0.01,0.5404787990806468,-0.0943788277205408,5.639569949845905,-0.83898454118496,Inter-area,0.54,-0.127,0.03262468589037733
g3,Voltage,Order 2,0.5395922090113082,-0.082973631995611,0.0005906476502335,1.567495158813813,Inter-area,0.54,-0.127,0.04402825653087283
g3,Voltage,Order 4,0.5384271309072476,-0.0791810223145317,0.0005541903425521,1.577570219491646,Inter-area,0.54,-0.127,0.04784483821757841
g3,Voltage,Order 6,1.0228506154217436,-1.0790192307729365,0.0002510934271761,2.7318469062708868,Intra-area 2,1.119,-0.631,0.4582204003502585
g3,Voltage,Order 6,0.5442551652129506,-0.1207700375090378,0.0007429624117855,1.410902558664077,Inter-area,0.54,-0.127,0.007544459134245511
g3,Voltage,Tau 1,0.5395922090113082,-0.082973631995611,0.0005906476502335,1.567495158813813,Inter-area,0.54,-0.127,0.04402825653087283
g3,Voltage,Tau 0.1,1.0378690523166156,-0.6985119814915584,0.0002212689820658,2.6953059488954194,Intra-area 2,1.119,-0.631,0.10554666416765889
g3,Voltage,Tau 0.1,0.5493781531629274,-0.1707363901907728,0.0008674447336312,1.2932245474251862,Inter-area,0.54,-0.127,0.044730544191490126
g3,Voltage,Tau 0.01,1.0992073910503568,-0.6943325040602648,0.0002058178943848,-2.9893795167783925,Intra-area 2,1.119,-0.631,0.06635324739285149
g3,Voltage,Tau 0.01,1.0836110843736195,-0.2652280080307497,7.058129144151948e-05,1.001146302807254,Intra-area 1,1.083,-0.603,0.3377725447442213
g3,Voltage,Tau 0.01,0.5397726542778567,-0.1272760155820473,0.0007520957930104,1.52228948935178,Inter-area,0.54,-0.127,0.00035759009900971625
g3,Current,Order 2,0.5461828413622513,-0.1164847155338339,0.0104585813517774,2.0141471428613147,Inter-area,0.54,-0.127,0.012198308682565741
g3,Current,Order 4,0.5452873781916211,-0.132505857828995,0.0113136157524133,2.038381824616996,Inter-area,0.54,-0.127,0.007633533819557977
g3,Current,Order 6,1.0804542962037524,-0.7371237523483728,0.0028663730594461,0.0779146331118758,Intra-area 2,1.119,-0.631,0.11290713925012365
g3,Current,Order 6,0.5452648701695424,-0.1165884578278363,0.0104062159804375,2.046167181399109,Inter-area,0.54,-0.127,0.01166700768427278
g3,Current,Tau 1,0.5461828413622513,-0.1164847155338339,0.0104585813517774,2.0141471428613147,Inter-area,0.54,-0.127,0.012198308682565741
g3,Current,Tau 0.1,1.070184873069799,-0.7056494810619983,0.0027020167526908,0.1872033643412834,Intra-area 2,1.119,-0.631,0.08919339459868812
g3,Current,Tau 0.1,0.5472810754321624,-0.1224572580168404,0.0106305531448157,1.992348765903224,Inter-area,0.54,-0.127,0.00858199068831932
g3,Current,Tau 0.01,1.0804542962037524,-0.7371237523483728,0.0028663730594461,0.0779146331118758,Intra-area 2,1.119,-0.631,0.11290713925012365
g3,Current,Tau 0.01,0.5452648701695424,-0.1165884578278363,0.0104062159804375,2.046167181399109,Inter-area,0.54,-0.127,0.01166700768427278
g3,Active Power,Order 2,0.540849762894188,-0.1778729404505966,12.398152930254629,2.106387834341965,Inter-area,0.54,-0.127,0.05088003701911277
g3,Active Power,Order 4,0.5395091728576743,-0.1284173222926695,10.794904846095331,2.153806462622897,Inter-area,0.54,-0.127,0.0014999045852792001
g3,Active Power,Order 6,1.0869647381378944,-0.6641275866939272,2.7116689067133404,0.1682218308974207,Intra-area 2,1.119,-0.631,0.04608356542995932
g3,Active Power,Order 6,0.5427617788660669,-0.0902931178583772,8.876993798275329,2.084275954469393,Inter-area,0.54,-0.127,0.036810631875370474
g3,Active Power,Tau 1,0.540849762894188,-0.1778729404505966,12.398152930254629,2.106387834341965,Inter-area,0.54,-0.127,0.05088003701911277
g3,Active Power,Tau 0.1,1.0869647381378944,-0.6641275866939272,2.7116689067133404,0.1682218308974207,Intra-area 2,1.119,-0.631,0.04608356542995932
g3,Active Power,Tau 0.1,0.5427617788660669,-0.0902931178583772,8.876993798275329,2.084275954469393,Inter-area,0.54,-0.127,0.036810631875370474
g3,Active Power,Tau 0.01,1.0869647381378944,-0.6641275866939272,2.7116689067133404,0.1682218308974207,Intra-area 2,1.119,-0.631,0.04608356542995932
g3,Active Power,Tau 0.01,0.5427617788660669,-0.0902931178583772,8.876993798275329,2.084275954469393,Inter-area,0.54,-0.127,0.036810631875370474
g3,Reactive Power,Order 2,0.5530616124952382,-0.1216843074223955,0.6687695377186261,1.743028538903363,Inter-area,0.54,-0.127,0.014101854791315994
g3,Reactive Power,Order 4,1.0258647878618865,-0.8465822162859066,0.8789954611056013,-0.4960151316491192,Intra-area 2,1.119,-0.631,0.23484007264254284
g3,Reactive Power,Order 4,0.5391151397719529,-0.1538230663951398,0.7429261132666991,2.203825758098094,Inter-area,0.54,-0.127,0.026837657656011208
g3,Reactive Power,Order 6,1.071989977650024,-0.7102734477549018,0.7815450295884337,-0.6237348517792863,Intra-area 2,1.119,-0.631,0.09216410212384422
g3,Reactive Power,Order 6,0.5403151970949753,-0.1422769653681866,0.7359432649320712,2.151513498052241,Inter-area,0.54,-0.127,0.01528021662377381
g3,Reactive Power,Tau 1,1.0258647878618865,-0.8465822162859066,0.8789954611056013,-0.4960151316491192,Intra-area 2,1.119,-0.631,0.23484007264254284
g3,Reactive Power,Tau 1,0.5391151397719529,-0.1538230663951398,0.7429261132666991,2.203825758098094,Inter-area,0.54,-0.127,0.026837657656011208
g3,Reactive Power,Tau 0.1,1.069344256941293,-0.7215385272307359,0.7404543554852802,-0.5006377777711358,Intra-area 2,1.119,-0.631,0.1032614048511012
g3,Reactive Power,Tau 0.1,0.5453217608260558,-0.0929392991980176,0.5920062737062493,2.0128535060379558,Inter-area,0.54,-0.127,0.03447393910495152
g3,Reactive Power,Tau 0.01,1.069344256941293,-0.7215385272307359,0.7404543554852802,-0.5006377777711358,Intra-area 2,1.119,-0.631,0.1032614048511012
g3,Reactive Power,Tau 0.01,0.5453217608260558,-0.0929392991980176,0.5920062737062493,2.0128535060379558,Inter-area,0.54,-0.127,0.03447393910495152
g4,Voltage,Order 2,0.5403262051705316,-0.1189904383381764,0.0011293392613163,1.7666474427453718,Inter-area,0.54,-0.127,0.008016201583532946
g4,Voltage,Order 4,0.5413360080002465,-0.1498036479933889,0.0012504611060687,1.730498047229238,Inter-area,0.54,-0.127,0.022842751129912364
g4,Voltage,Order 6,1.0281589384864802,-0.8394499165275426,0.0003182368532925,2.132034657847976,Intra-area 2,1.119,-0.631,0.22738396196135421
g4,Voltage,Order 6,0.5427638393147642,-0.1361809846322138,0.0012156685277012,1.6746843436793828,Inter-area,0.54,-0.127,0.009587976145922661
g4,Voltage,Tau 1,0.5403262051705316,-0.1189904383381764,0.0011293392613163,1.7666474427453718,Inter-area,0.54,-0.127,0.008016201583532946
g4,Voltage,Tau 0.1,1.057951081266643,-0.5616321931331476,0.0002400718798127,1.981090890334253,Intra-area 1,1.083,-0.603,0.04836056011548581
g4,Voltage,Tau 0.1,0.5447539989199883,-0.1369155335725045,0.0012037204857842,1.6247217340313096,Inter-area,0.54,-0.127,0.010996286271224186
g4,Voltage,Tau 0.01,1.057951081266643,-0.5616321931331476,0.0002400718798127,1.981090890334253,Intra-area 1,1.083,-0.603,0.04836056011548581
g4,Voltage,Tau 0.01,0.5447539989199883,-0.1369155335725045,0.0012037204857842,1.6247217340313096,Inter-area,0.54,-0.127,0.010996286271224186
g4,Current,Order 2,0.5434638299377056,-0.1381050029058376,0.0096360458305569,2.1135939921107387,Inter-area,0.54,-0.127,0.011632678426570849
g4,Current,Order 4,0.5422056561127004,-0.1060984638867345,0.0081819530311251,2.142697651590921,Inter-area,0.54,-0.127,0.021017590984259704
g4,Current,Order 6,1.0938993660670009,-0.8059078769357799,0.0041104455459032,2.8455680087087134,Intra-area 2,1.119,-0.631,0.17669976581201335
g4,Current,Order 6,0.5430111964033749,-0.1121462239176753,0.0087598827833136,2.096040101076888,Inter-area,0.54,-0.127,0.015155921868482273
g4,Current,Tau 1,0.5434638299377056,-0.1381050029058376,0.0096360458305569,2.1135939921107387,Inter-area,0.54,-0.127,0.011632678426570849
g4,Current,Tau 0.1,0.5434638299377056,-0.1381050029058376,0.0096360458305569,2.1135939921107387,Inter-area,0.54,-0.127,0.011632678426570849
g4,Current,Tau 0.01,1.0959943497248776,-0.7897683338102728,0.0032166218234409,2.7704192293734486,Intra-area 2,1.119,-0.631,0.16042644347323617
g4,Current,Tau 0.01,0.5461811480532134,-0.092553026079794,0.0076891607903284,1.992784768819147,Inter-area,0.54,-0.127,0.034997151362862314
g4,Active Power,Order 2,0.5468183859307691,-0.1327319158140731,9.81345665877012,1.9977679481793933,Inter-area,0.54,-0.127,0.008907594826917721
g4,Active Power,Order 4,0.5383268401364132,-0.1341879075013663,9.6503448451305,2.2085230056681944,Inter-area,0.54,-0.127,0.007380073046882119
g4,Active Power,Order 6,1.088175663898182,-0.8221923269824806,4.108627846837058,2.9723167703417004,Intra-area 2,1.119,-0.631,0.19366116180869514
g4,Active Power,Order 6,0.5422575550655294,-0.1404497296043694,10.21692395972687,2.0841612771156464,Inter-area,0.54,-0.127,0.013637880381662991
g4,Active Power,Tau 1,0.5468183859307691,-0.1327319158140731,9.81345665877012,1.9977679481793933,Inter-area,0.54,-0.127,0.008907594826917721
g4,Active Power,Tau 0.1,1.0902936859804728,-0.8843890289444392,4.18189652085635,2.766661009187925,Intra-area 2,1.119,-0.631,0.2550099065801043
g4,Active Power,Tau 0.1,0.5428596869386948,-0.1012505717567966,8.62462450419357,2.068326544765503,Inter-area,0.54,-0.127,0.02590773753609571
g4,Active Power,Tau 0.01,1.088175663898182,-0.8221923269824806,4.108627846837058,2.9723167703417004,Intra-area 2,1.119,-0.631,0.19366116180869514
g4,Active Power,Tau 0.01,0.5422575550655294,-0.1404497296043694,10.21692395972687,2.0841612771156464,Inter-area,0.54,-0.127,0.013637880381662991
g4,Reactive Power,Order 2,0.550167069680939,-0.1688161666203479,0.3783174988289292,-0.5856686519549693,Inter-area,0.54,-0.127,0.04303441758311324
g4,Reactive Power,Order 4,0.5369919118876583,-0.0909318702490714,0.2770684397573192,-0.2196184330609772,Inter-area,0.54,-0.127,0.03619334991157123
g4,Reactive Power,Order 6,1.1378247761137823,-1.0235018917496246,0.2836671602095842,0.7370865524524919,Intra-area 2,1.119,-0.631,0.3929530598211039
g4,Reactive Power,Order 6,0.5460708004592479,-0.0665490210103774,0.2387185965162787,-0.507349618656292,Inter-area,0.54,-0.127,0.060755044885340996
g4,Reactive Power,Tau 1,0.550167069680939,-0.1688161666203479,0.3783174988289292,-0.5856686519549693,Inter-area,0.54,-0.127,0.04303441758311324
g4,Reactive Power,Tau 0.1,0.550167069680939,-0.1688161666203479,0.3783174988289292,-0.5856686519549693,Inter-area,0.54,-0.127,0.04303441758311324
g4,Reactive Power,Tau 0.01,1.0835283554189803,-0.7437562668293822,0.476474730923286,1.222086304601917,Intra-area 2,1.119,-0.631,0.11820411701197647
g4,Reactive Power,Tau 0.01,1.08713352408584,-0.2403524825566656,0.1216771214693567,-2.0237670114887445,Intra-area 1,1.083,-0.603,0.3626710740177409
g4,Reactive Power,Tau 0.01,0.5438517177555328,-0.1518077053335373,0.3798823325451996,-0.4027145742973499,Inter-area,0.54,-0.127,0.02510493922685137
